2,1.3099,0.31034
3,0.99253,0.12251
4,0.82819,0.061213
5,0.79386,0.1923
7,0.57806,0.10079
8,0.59431,0.15853
10,0.45203,0.060192
13,0.41873,0.08673
16,0.37201,0.072317
20,0.24242,0.076061
24,0.22284,0.033532
30,0.16654,0.027722
37,0.12594,0.014041
45,0.098219,0.014687
55,0.068329,0.0082275
68,0.058033,0.0079271
84,0.051826,0.0027284
103,0.04237,0.0032806
127,0.038182,0.0031069
156,0.036266,0.0027744
192,0.036557,0.003449
236,0.033307,0.0036474
290,0.032283,0.0030362
357,0.03179,0.0017831
438,0.03316,0.0035458
539,0.032713,0.0013923
662,0.031188,0.0024301
813,0.031401,0.0020616
1000,0.029809,0.0032924
