2,5.6445,3.6401
3,1.9223,0.37555
4,1.6362,0.26441
5,1.6174,0.20124
7,1.3233,0.18564
8,1.2096,0.13908
10,1.1716,0.093976
13,1.0156,0.09185
16,0.91815,0.13165
20,0.91706,0.097984
24,0.83126,0.19352
30,0.71936,0.12076
37,0.57941,0.14114
45,0.51372,0.11754
55,0.37642,0.068984
68,0.30433,0.036347
84,0.23522,0.038879
103,0.1782,0.017477
127,0.14719,0.013772
156,0.11429,0.01027
192,0.090719,0.0060015
236,0.076517,0.0063254
290,0.064695,0.0025825
357,0.056254,0.0031462
438,0.051391,0.0019058
539,0.047784,0.0022106
662,0.042889,0.0016262
813,0.040907,0.0018986
1000,0.037562,0.0015485
