2,21.868,16.047
3,2.5218,1.5433
4,1.7199,1.5576
5,0.53731,0.14462
7,0.3473,0.24858
8,0.2098,0.065472
10,0.1094,0.026916
13,0.082742,0.012431
16,0.077557,0.014748
20,0.065196,0.0088148
24,0.057431,0.0076
30,0.053776,0.0075595
37,0.051588,0.0059502
45,0.050311,0.0074736
55,0.051072,0.0070829
68,0.047954,0.007005
84,0.049247,0.010707
103,0.046965,0.0049576
127,0.048439,0.0091594
156,0.044254,0.00567
192,0.048527,0.0085973
236,0.047656,0.0065542
290,0.044856,0.0068477
357,0.041863,0.0047018
438,0.042862,0.0039396
539,0.046547,0.012119
662,0.044106,0.0049171
813,0.046971,0.0062577
1000,0.044452,0.0062394
